,Tweet,Date,Score
38,And the days are not full enough. And the nights are not full enough. And life slips by like a field mouse not shaking the grass.,2019-06-24,2.0
39,"As tears stream down my face, what have I done? I have become the void... I feel the cold embrace creeping in. My demons consume the last piece of humanity within... #Savage #Dark #Darkness",2019-06-24,-4.0
40,I feel I'm like I belong to nowhere.,2019-06-24,2.0
41,Walk away from anything that gives you bad vibes. There is no need to  explain or make sense of it. It's your life. Do what makes you happy.,2019-07-01,0.0
42,"Too often we underestimate the power of a touch, a smile, a kind word, a  listening ear, an honest compliment, or the smallest act of caring, all  of which have the potential to turn a life around.",2019-07-01,2.2
43,Love those who saw you when you were invisible to everyone else.,2019-07-01,4.0
44,"At the end of the day, all you need is hope and strength. Hope that it’ll get better, and the strength to hold on until it does.",2019-07-01,2.0
45,"Dare, dream, dance, smile, and sing loudly! And have faith that love is an unstoppable force!",2019-07-01,1.75
46,"Encourage yourself, believe in yourself, and love yourself. Never doubt who you are.",2019-07-01,2.66666666666667
47,Your lack of dedication is an insult to those who believe in you.,2019-07-01,-3.0
48,Always remember that every day is a fresh start and you need to constantly remind yourself to make the most of it.,2019-07-01,0.0
49,You can't control everything. Sometimes you just need to relax and have faith that things will work out. Let go a little and let life happen.,2019-07-02,2.5
50,"Love yourself a little extra right now. You’re learning, healing, growing, and discovering yourself all at once. It’s about to get magical for you.",2019-07-02,4.0
51,A single lie discovered is enough to create doubt in every truth expressed.,2019-07-02,-0.666666666666667
52,"Let go of the anxiety, breathe. You're going to have a great week, you'll get through it just like you always do. Stay positive, all is well.",2019-07-03,1.6
53,One small #positive thought in the morning can change the entire outcome of your day.,2019-07-03,0.0
54,Life is measured in love and positive contributions and moments of grace,2019-07-03,3.33333333333333
55,"#smile and think #positive. The #nature is a source of hope , relaxation",2019-07-03,3.0
56,Believe in it till it manifests for you. Don't overthink how it will happen. Don’t worry about when it will happen. Just believe it. Allow it. Let it flow in.,2019-07-03,4.0
57,"No matter what happens, no matter how far you seem to be away from where you want to be, never stop believing that you will somehow make it.",2019-07-03,0.0
58,One day you will realize that material things mean nothing. All that matters is the well-being of the people in your life.,2019-07-03,2.0
59,"A hearty #laugh gives one a dry cleaning, while a good cry is a wet wash. - Kevork Thomajan",2019-07-04,-1.0
60,what a busy day,2019-07-05,0.0
61,"Be selfless not selfish 💗
Inspire someone to better themselves today ! #positive  🌞🙏",2019-07-12,4.0
62,"Goodnight peeps! Just want to remind u that u are worth it in anyyy wayy! U are good just the way you are! 

#selflove 
#reminder
#goodvibe",2019-07-15,2.0
63,"My old good memories, my old friends, my old love. I miss them. #love #feeling",2019-07-15,1.33333333333333
64,"I have a wonderful and stress free life to live. Someone’s immature action won’t affect my values and perceptions in life. 

#positivity",2019-07-15,-0.5
65,#Happiness is a good #feeling and you should embrace it but not reject it otherwise you fall into the spirals of agony and #depression.,2019-07-15,2.66666666666667
66,"It’s good to feel good, knowing that a good thing is giving the #feeling",2019-07-15,2.0
67,"Your emotions are neither good or bad, right or wrong. Feelings are what they are. They simply exist. #feeling #emotions #thoughts #life #thinkbigsundaywithmarsha",2019-07-15,-0.666666666666667
68,"If They’re Not Helping Or Motivating You To Do Better That’s Not Your FRIEND Fr‼️🤷🏽‍♂️🤔 ....
.",2019-07-15,-2.0
69,"I like solid even ground 
Ok it loves me so much it likes to take me on trips! #JOKING",2019-07-15,2.8
70,"Good morning Always Smiling, hoping things are going well in the things that concern you, keep your chin up and keep smiling 🙂🙂🙂
#Smiling lifts the #Spirit to greater heights 🙂🙂🙂 
Love to all of Australia from outback NSW 💝💝💝...misha 💞",2019-07-15,2.5
71,#Children look best while #smiling and #laughing with joy. Give your child the biggest smile that they deserve. A new Home at #EasternArc with #luxurious #amenities and playing space will make your children the #happiest kids.,2019-07-15,2.2
72,This is a beautiful night! 😃😀😀😀,2019-07-15,3.0
