,Tweet,Sum_score,Counter,Score,emo_score,emo_counter
61,Always fun to go outside and see what nature reveals #nature,2,1,2.0,0.0,0
62,Be a source of strength and courage. Share your wisdom. Radiate love.,9,5,1.8,0.0,0
63,"I really hope that there has been something that has made you smile, today If not, just remember... that tomorrow is another day You deserve to be happy",8,3,2.6666666666666665,0.0,0
64,The peace that comes with surrendered action turns to a sense of aliveness when you actually enjoy what you are doing.,4,2,2.0,0.0,0
65,I was so thankful for a team of support who made work a fun and happy place and helped us dance our way out!! #perfectlyimperfectpreschool #happy,12,6,2.0,0.0,0
66,"Don't Fall in Love, Rise In Love! - Gurudev @SriSri Ravi Shankar",0,2,0.0,0.0,0
67,I have just received news that one of the doctors I know has committed suicide.  A very experienced specialist.  Drs are just human beings just like anyone. The unreasonable expectations the world puts on them is just too much load to carry.,2,1,2.0,0.0,0
68,Everyday is a struggle lately.,-2,1,-2.0,0.0,0
69,"It hurts so much when you feel yourself become less, and less important to the person who means the most to you..",-2,2,-1.0,0.0,0
70,"Be happy. Not because everything is perfect, but because you can see good in everything.",2,3,0.6666666666666666,0.0,0
71,Love LIFE and it will return the favor.,6,2,3.0,0.0,0
72,"See, I am making all things new.--Revelation 21:5 #newbeginnings #spiritual #inspiration",3,1,3.0,0.0,0
73,Imagination encircles the entire world.,0,0,0.0,0.0,0
74,It will be rainy tomorrow but it was a beautiful sunny day today.,5,2,2.5,0.0,0
75,Being #Grateful for small things helps us be #Humble and #Positive. What little things for you today?,5,2,2.5,0.0,0
76,"It is such a  wonderful day today. Bright sunshine,loving it",9,3,3.0,0.0,0
